m6,m5,m4,m3,m2,m1,n
20.016,19.272,19.046,19.81,19.55,19.496,19.676
19.272,19.046,19.81,19.55,19.496,19.676,20.292
19.046,19.81,19.55,19.496,19.676,20.292,20.334
19.81,19.55,19.496,19.676,20.292,20.334,19.432
19.55,19.496,19.676,20.292,20.334,19.432,19.583
19.496,19.676,20.292,20.334,19.432,19.583,20.08
19.676,20.292,20.334,19.432,19.583,20.08,19.819
20.292,20.334,19.432,19.583,20.08,19.819,20.039
20.334,19.432,19.583,20.08,19.819,20.039,19.167
19.432,19.583,20.08,19.819,20.039,19.167,19.434
19.583,20.08,19.819,20.039,19.167,19.434,19.397
20.08,19.819,20.039,19.167,19.434,19.397,19.469
19.819,20.039,19.167,19.434,19.397,19.469,19.9
20.039,19.167,19.434,19.397,19.469,19.9,20.033
19.167,19.434,19.397,19.469,19.9,20.033,19.615
19.434,19.397,19.469,19.9,20.033,19.615,19.37
19.397,19.469,19.9,20.033,19.615,19.37,20.128
19.469,19.9,20.033,19.615,19.37,20.128,20.211
19.9,20.033,19.615,19.37,20.128,20.211,20.103
20.033,19.615,19.37,20.128,20.211,20.103,19.787
19.615,19.37,20.128,20.211,20.103,19.787,19.539
19.37,20.128,20.211,20.103,19.787,19.539,19.683
20.128,20.211,20.103,19.787,19.539,19.683,20.223
20.211,20.103,19.787,19.539,19.683,20.223,20.385
20.103,19.787,19.539,19.683,20.223,20.385,20.282
19.787,19.539,19.683,20.223,20.385,20.282,20.134
19.539,19.683,20.223,20.385,20.282,20.134,20.054
19.683,20.223,20.385,20.282,20.134,20.054,20.304
20.223,20.385,20.282,20.134,20.054,20.304,19.87
20.385,20.282,20.134,20.054,20.304,19.87,19.87
20.282,20.134,20.054,20.304,19.87,19.87,19.839
20.134,20.054,20.304,19.87,19.87,19.839,20.01
20.054,20.304,19.87,19.87,19.839,20.01,19.765
20.304,19.87,19.87,19.839,20.01,19.765,19.793
19.87,19.87,19.839,20.01,19.765,19.793,19.503
19.87,19.839,20.01,19.765,19.793,19.503,19.552
19.839,20.01,19.765,19.793,19.503,19.552,19.144
20.01,19.765,19.793,19.503,19.552,19.144,19.138
19.765,19.793,19.503,19.552,19.144,19.138,19.427
19.793,19.503,19.552,19.144,19.138,19.427,19.439
19.503,19.552,19.144,19.138,19.427,19.439,19.822
19.552,19.144,19.138,19.427,19.439,19.822,19.944
19.144,19.138,19.427,19.439,19.822,19.944,19.952
19.138,19.427,19.439,19.822,19.944,19.952,20.131
19.427,19.439,19.822,19.944,19.952,20.131,20.172
19.439,19.822,19.944,19.952,20.131,20.172,20.357
19.822,19.944,19.952,20.131,20.172,20.357,20.411
19.944,19.952,20.131,20.172,20.357,20.411,21.437
19.952,20.131,20.172,20.357,20.411,21.437,21.898
20.131,20.172,20.357,20.411,21.437,21.898,21.914
20.172,20.357,20.411,21.437,21.898,21.914,21.866
20.357,20.411,21.437,21.898,21.914,21.866,21.7
20.411,21.437,21.898,21.914,21.866,21.7,21.798
21.437,21.898,21.914,21.866,21.7,21.798,22.07
21.898,21.914,21.866,21.7,21.798,22.07,21.984
21.914,21.866,21.7,21.798,22.07,21.984,21.272
21.866,21.7,21.798,22.07,21.984,21.272,21.352
21.7,21.798,22.07,21.984,21.272,21.352,21.241
21.798,22.07,21.984,21.272,21.352,21.241,21.485
22.07,21.984,21.272,21.352,21.241,21.485,21.222
21.984,21.272,21.352,21.241,21.485,21.222,21.271
21.272,21.352,21.241,21.485,21.222,21.271,21.574
21.352,21.241,21.485,21.222,21.271,21.574,20.928
21.241,21.485,21.222,21.271,21.574,20.928,20.91
21.485,21.222,21.271,21.574,20.928,20.91,20.815
21.222,21.271,21.574,20.928,20.91,20.815,21.358
21.271,21.574,20.928,20.91,20.815,21.358,21.198
21.574,20.928,20.91,20.815,21.358,21.198,21.413
20.928,20.91,20.815,21.358,21.198,21.413,21.275
20.91,20.815,21.358,21.198,21.413,21.275,20.862
20.815,21.358,21.198,21.413,21.275,20.862,20.826
21.358,21.198,21.413,21.275,20.862,20.826,20.43
21.198,21.413,21.275,20.862,20.826,20.43,20.31
21.413,21.275,20.862,20.826,20.43,20.31,20.067
21.275,20.862,20.826,20.43,20.31,20.067,19.979
20.862,20.826,20.43,20.31,20.067,19.979,19.78
20.826,20.43,20.31,20.067,19.979,19.78,19.708
20.43,20.31,20.067,19.979,19.78,19.708,19.826
20.31,20.067,19.979,19.78,19.708,19.826,19.765
20.067,19.979,19.78,19.708,19.826,19.765,19.706
19.979,19.78,19.708,19.826,19.765,19.706,20.068
19.78,19.708,19.826,19.765,19.706,20.068,19.824
19.708,19.826,19.765,19.706,20.068,19.824,19.966
19.826,19.765,19.706,20.068,19.824,19.966,19.927
19.765,19.706,20.068,19.824,19.966,19.927,20.074
19.706,20.068,19.824,19.966,19.927,20.074,19.786
20.068,19.824,19.966,19.927,20.074,19.786,20.108
19.824,19.966,19.927,20.074,19.786,20.108,19.962
19.966,19.927,20.074,19.786,20.108,19.962,20.026
19.927,20.074,19.786,20.108,19.962,20.026,19.505
20.074,19.786,20.108,19.962,20.026,19.505,19.648
19.786,20.108,19.962,20.026,19.505,19.648,19.612
20.108,19.962,20.026,19.505,19.648,19.612,19.367
19.962,20.026,19.505,19.648,19.612,19.367,19.376
20.026,19.505,19.648,19.612,19.367,19.376,19.454
19.505,19.648,19.612,19.367,19.376,19.454,19.701
19.648,19.612,19.367,19.376,19.454,19.701,19.704
19.612,19.367,19.376,19.454,19.701,19.704,19.605
19.367,19.376,19.454,19.701,19.704,19.605,19.538
19.376,19.454,19.701,19.704,19.605,19.538,19.174
19.454,19.701,19.704,19.605,19.538,19.174,19.043
19.701,19.704,19.605,19.538,19.174,19.043,19.546
19.704,19.605,19.538,19.174,19.043,19.546,19.571
19.605,19.538,19.174,19.043,19.546,19.571,19.645
19.538,19.174,19.043,19.546,19.571,19.645,19.342
19.174,19.043,19.546,19.571,19.645,19.342,19.138
19.043,19.546,19.571,19.645,19.342,19.138,19.121
19.546,19.571,19.645,19.342,19.138,19.121,19.543
19.571,19.645,19.342,19.138,19.121,19.543,19.547
19.645,19.342,19.138,19.121,19.543,19.547,19.775
19.342,19.138,19.121,19.543,19.547,19.775,19.484
19.138,19.121,19.543,19.547,19.775,19.484,19.329
19.121,19.543,19.547,19.775,19.484,19.329,19.353
19.543,19.547,19.775,19.484,19.329,19.353,19.399
19.547,19.775,19.484,19.329,19.353,19.399,19.338
19.775,19.484,19.329,19.353,19.399,19.338,19.52
19.484,19.329,19.353,19.399,19.338,19.52,19.418
19.329,19.353,19.399,19.338,19.52,19.418,19.067
19.353,19.399,19.338,19.52,19.418,19.067,19.067
19.399,19.338,19.52,19.418,19.067,19.067,19.059
19.338,19.52,19.418,19.067,19.067,19.059,19.033
19.52,19.418,19.067,19.067,19.059,19.033,18.7
19.418,19.067,19.067,19.059,19.033,18.7,18.757
19.067,19.067,19.059,19.033,18.7,18.757,18.781
19.067,19.059,19.033,18.7,18.757,18.781,18.811
19.059,19.033,18.7,18.757,18.781,18.811,19.103
19.033,18.7,18.757,18.781,18.811,19.103,19.011
18.7,18.757,18.781,18.811,19.103,19.011,19.086
18.757,18.781,18.811,19.103,19.011,19.086,19.188
18.781,18.811,19.103,19.011,19.086,19.188,19.192
18.811,19.103,19.011,19.086,19.188,19.192,19.553
19.103,19.011,19.086,19.188,19.192,19.553,19.677
19.011,19.086,19.188,19.192,19.553,19.677,19.737
19.086,19.188,19.192,19.553,19.677,19.737,19.754
19.188,19.192,19.553,19.677,19.737,19.754,19.799
19.192,19.553,19.677,19.737,19.754,19.799,20.669
19.553,19.677,19.737,19.754,19.799,20.669,20.97
19.677,19.737,19.754,19.799,20.669,20.97,20.937
19.737,19.754,19.799,20.669,20.97,20.937,21.068
19.754,19.799,20.669,20.97,20.937,21.068,21.142
19.799,20.669,20.97,20.937,21.068,21.142,21.134
20.669,20.97,20.937,21.068,21.142,21.134,21.134
20.97,20.937,21.068,21.142,21.134,21.134,21.056
20.937,21.068,21.142,21.134,21.134,21.056,21.117
21.068,21.142,21.134,21.134,21.056,21.117,21.302
21.142,21.134,21.134,21.056,21.117,21.302,21.137
21.134,21.134,21.056,21.117,21.302,21.137,21.014
21.134,21.056,21.117,21.302,21.137,21.014,21.014
21.056,21.117,21.302,21.137,21.014,21.014,21.013
21.117,21.302,21.137,21.014,21.014,21.013,21.068
21.302,21.137,21.014,21.014,21.013,21.068,21.508
21.137,21.014,21.014,21.013,21.068,21.508,21.461
21.014,21.014,21.013,21.068,21.508,21.461,20.914
21.014,21.013,21.068,21.508,21.461,20.914,20.889
21.013,21.068,21.508,21.461,20.914,20.889,20.775
21.068,21.508,21.461,20.914,20.889,20.775,21.134
21.508,21.461,20.914,20.889,20.775,21.134,20.886
21.461,20.914,20.889,20.775,21.134,20.886,21.012
20.914,20.889,20.775,21.134,20.886,21.012,21.008
20.889,20.775,21.134,20.886,21.012,21.008,20.995
20.775,21.134,20.886,21.012,21.008,20.995,20.415
21.134,20.886,21.012,21.008,20.995,20.415,20.636
20.886,21.012,21.008,20.995,20.415,20.636,20.567
21.012,21.008,20.995,20.415,20.636,20.567,20.583
21.008,20.995,20.415,20.636,20.567,20.583,20.617
20.995,20.415,20.636,20.567,20.583,20.617,20.432
20.415,20.636,20.567,20.583,20.617,20.432,20.393
20.636,20.567,20.583,20.617,20.432,20.393,20.255
20.567,20.583,20.617,20.432,20.393,20.255,19.855
20.583,20.617,20.432,20.393,20.255,19.855,20.047
20.617,20.432,20.393,20.255,19.855,20.047,20.013
20.432,20.393,20.255,19.855,20.047,20.013,19.952
20.393,20.255,19.855,20.047,20.013,19.952,20.108
20.255,19.855,20.047,20.013,19.952,20.108,19.916
19.855,20.047,20.013,19.952,20.108,19.916,19.857
20.047,20.013,19.952,20.108,19.916,19.857,19.919
20.013,19.952,20.108,19.916,19.857,19.919,19.538
19.952,20.108,19.916,19.857,19.919,19.538,19.649
20.108,19.916,19.857,19.919,19.538,19.649,19.427
19.916,19.857,19.919,19.538,19.649,19.427,19.516
19.857,19.919,19.538,19.649,19.427,19.516,19.436
19.919,19.538,19.649,19.427,19.516,19.436,19.408
19.538,19.649,19.427,19.516,19.436,19.408,19.38
19.649,19.427,19.516,19.436,19.408,19.38,19.41
19.427,19.516,19.436,19.408,19.38,19.41,19.429
19.516,19.436,19.408,19.38,19.41,19.429,19.581
19.436,19.408,19.38,19.41,19.429,19.581,19.454
19.408,19.38,19.41,19.429,19.581,19.454,19.152
19.38,19.41,19.429,19.581,19.454,19.152,19.12
19.41,19.429,19.581,19.454,19.152,19.12,19.157
19.429,19.581,19.454,19.152,19.12,19.157,19.108
19.581,19.454,19.152,19.12,19.157,19.108,19.126
19.454,19.152,19.12,19.157,19.108,19.126,18.931
19.152,19.12,19.157,19.108,19.126,18.931,18.89
19.12,19.157,19.108,19.126,18.931,18.89,18.896
19.157,19.108,19.126,18.931,18.89,18.896,18.569
19.108,19.126,18.931,18.89,18.896,18.569,18.578
19.126,18.931,18.89,18.896,18.569,18.578,18.593
18.931,18.89,18.896,18.569,18.578,18.593,18.693
18.89,18.896,18.569,18.578,18.593,18.693,18.707
18.896,18.569,18.578,18.593,18.693,18.707,18.496
18.569,18.578,18.593,18.693,18.707,18.496,17.824
18.578,18.593,18.693,18.707,18.496,17.824,17.753
18.593,18.693,18.707,18.496,17.824,17.753,17.758
18.693,18.707,18.496,17.824,17.753,17.758,17.673
18.707,18.496,17.824,17.753,17.758,17.673,17.409
18.496,17.824,17.753,17.758,17.673,17.409,17.507
17.824,17.753,17.758,17.673,17.409,17.507,17.567
17.753,17.758,17.673,17.409,17.507,17.567,17.057
17.758,17.673,17.409,17.507,17.567,17.057,17.259
17.673,17.409,17.507,17.567,17.057,17.259,17.047
17.409,17.507,17.567,17.057,17.259,17.047,16.826
17.507,17.567,17.057,17.259,17.047,16.826,17.225
17.567,17.057,17.259,17.047,16.826,17.225,17.24
17.057,17.259,17.047,16.826,17.225,17.24,17.064
17.259,17.047,16.826,17.225,17.24,17.064,17.418
17.047,16.826,17.225,17.24,17.064,17.418,17.303
16.826,17.225,17.24,17.064,17.418,17.303,17.345
17.225,17.24,17.064,17.418,17.303,17.345,17.403
17.24,17.064,17.418,17.303,17.345,17.403,17.464
17.064,17.418,17.303,17.345,17.403,17.464,17.437
17.418,17.303,17.345,17.403,17.464,17.437,17.331
17.303,17.345,17.403,17.464,17.437,17.331,17.354
17.345,17.403,17.464,17.437,17.331,17.354,17.549
17.403,17.464,17.437,17.331,17.354,17.549,17.231
17.464,17.437,17.331,17.354,17.549,17.231,17.158
17.437,17.331,17.354,17.549,17.231,17.158,17.182
17.331,17.354,17.549,17.231,17.158,17.182,17.161
17.354,17.549,17.231,17.158,17.182,17.161,17.226
17.549,17.231,17.158,17.182,17.161,17.226,17.264
17.231,17.158,17.182,17.161,17.226,17.264,16.441
17.158,17.182,17.161,17.226,17.264,16.441,16.126
17.182,17.161,17.226,17.264,16.441,16.126,16.22
17.161,17.226,17.264,16.441,16.126,16.22,15.972
17.226,17.264,16.441,16.126,16.22,15.972,15.456
17.264,16.441,16.126,16.22,15.972,15.456,15.43
16.441,16.126,16.22,15.972,15.456,15.43,15.732
16.126,16.22,15.972,15.456,15.43,15.732,15.692
16.22,15.972,15.456,15.43,15.732,15.692,15.699
15.972,15.456,15.43,15.732,15.692,15.699,15.641
15.456,15.43,15.732,15.692,15.699,15.641,15.641
15.43,15.732,15.692,15.699,15.641,15.641,16.333
15.732,15.692,15.699,15.641,15.641,16.333,16.077
15.692,15.699,15.641,15.641,16.333,16.077,16.195
15.699,15.641,15.641,16.333,16.077,16.195,16.318
15.641,15.641,16.333,16.077,16.195,16.318,16.161
15.641,16.333,16.077,16.195,16.318,16.161,16.42
16.333,16.077,16.195,16.318,16.161,16.42,16.398
16.077,16.195,16.318,16.161,16.42,16.398,16.573
16.195,16.318,16.161,16.42,16.398,16.573,16.586
16.318,16.161,16.42,16.398,16.573,16.586,15.556
16.161,16.42,16.398,16.573,16.586,15.556,15.547
16.42,16.398,16.573,16.586,15.556,15.547,16.683
16.398,16.573,16.586,15.556,15.547,16.683,16.443
16.573,16.586,15.556,15.547,16.683,16.443,16.392
16.586,15.556,15.547,16.683,16.443,16.392,16.553
15.556,15.547,16.683,16.443,16.392,16.553,16.235
15.547,16.683,16.443,16.392,16.553,16.235,16.253
16.683,16.443,16.392,16.553,16.235,16.253,17.113
16.443,16.392,16.553,16.235,16.253,17.113,17.166
16.392,16.553,16.235,16.253,17.113,17.166,17.091
16.553,16.235,16.253,17.113,17.166,17.091,17.047
16.235,16.253,17.113,17.166,17.091,17.047,16.553
16.253,17.113,17.166,17.091,17.047,16.553,15.738
17.113,17.166,17.091,17.047,16.553,15.738,15.907
17.166,17.091,17.047,16.553,15.738,15.907,15.91
17.091,17.047,16.553,15.738,15.907,15.91,16.009
17.047,16.553,15.738,15.907,15.91,16.009,15.667
16.553,15.738,15.907,15.91,16.009,15.667,15.746
15.738,15.907,15.91,16.009,15.667,15.746,15.681
15.907,15.91,16.009,15.667,15.746,15.681,16.127
15.91,16.009,15.667,15.746,15.681,16.127,15.762
16.009,15.667,15.746,15.681,16.127,15.762,16.276
15.667,15.746,15.681,16.127,15.762,16.276,15.599
15.746,15.681,16.127,15.762,16.276,15.599,15.768
15.681,16.127,15.762,16.276,15.599,15.768,16.213
16.127,15.762,16.276,15.599,15.768,16.213,16.637
15.762,16.276,15.599,15.768,16.213,16.637,16.544
16.276,15.599,15.768,16.213,16.637,16.544,16.385
15.599,15.768,16.213,16.637,16.544,16.385,16.419
15.768,16.213,16.637,16.544,16.385,16.419,16.564
16.213,16.637,16.544,16.385,16.419,16.564,17.156
16.637,16.544,16.385,16.419,16.564,17.156,16.988
16.544,16.385,16.419,16.564,17.156,16.988,17.102
16.385,16.419,16.564,17.156,16.988,17.102,17.75
16.419,16.564,17.156,16.988,17.102,17.75,17.956
16.564,17.156,16.988,17.102,17.75,17.956,17.956
17.156,16.988,17.102,17.75,17.956,17.956,18.193
16.988,17.102,17.75,17.956,17.956,18.193,18.36
17.102,17.75,17.956,17.956,18.193,18.36,18.3
17.75,17.956,17.956,18.193,18.36,18.3,17.983
17.956,17.956,18.193,18.36,18.3,17.983,18.084
17.956,18.193,18.36,18.3,17.983,18.084,18.088
18.193,18.36,18.3,17.983,18.084,18.088,16.792
18.36,18.3,17.983,18.084,18.088,16.792,17.228
18.3,17.983,18.084,18.088,16.792,17.228,17.272
17.983,18.084,18.088,16.792,17.228,17.272,17.346
18.084,18.088,16.792,17.228,17.272,17.346,17.421
18.088,16.792,17.228,17.272,17.346,17.421,17.222
16.792,17.228,17.272,17.346,17.421,17.222,16.719
17.228,17.272,17.346,17.421,17.222,16.719,17.095
17.272,17.346,17.421,17.222,16.719,17.095,16.898
17.346,17.421,17.222,16.719,17.095,16.898,16.786
17.421,17.222,16.719,17.095,16.898,16.786,16.819
17.222,16.719,17.095,16.898,16.786,16.819,17.319
16.719,17.095,16.898,16.786,16.819,17.319,16.378
17.095,16.898,16.786,16.819,17.319,16.378,16.402
16.898,16.786,16.819,17.319,16.378,16.402,16.288
16.786,16.819,17.319,16.378,16.402,16.288,16.405
16.819,17.319,16.378,16.402,16.288,16.405,16.297
17.319,16.378,16.402,16.288,16.405,16.297,16.28
16.378,16.402,16.288,16.405,16.297,16.28,16.209
16.402,16.288,16.405,16.297,16.28,16.209,16.453
16.288,16.405,16.297,16.28,16.209,16.453,16.624
16.405,16.297,16.28,16.209,16.453,16.624,16.558
16.297,16.28,16.209,16.453,16.624,16.558,16.451
16.28,16.209,16.453,16.624,16.558,16.451,16.296
16.209,16.453,16.624,16.558,16.451,16.296,16.158
16.453,16.624,16.558,16.451,16.296,16.158,16.158
16.624,16.558,16.451,16.296,16.158,16.158,15.807
16.558,16.451,16.296,16.158,16.158,15.807,15.776
16.451,16.296,16.158,16.158,15.807,15.776,15.633
16.296,16.158,16.158,15.807,15.776,15.633,15.365
16.158,16.158,15.807,15.776,15.633,15.365,15.516
16.158,15.807,15.776,15.633,15.365,15.516,15.494
15.807,15.776,15.633,15.365,15.516,15.494,15.617
15.776,15.633,15.365,15.516,15.494,15.617,15.578
15.633,15.365,15.516,15.494,15.617,15.578,15.541
15.365,15.516,15.494,15.617,15.578,15.541,16.114
15.516,15.494,15.617,15.578,15.541,16.114,16.883
15.494,15.617,15.578,15.541,16.114,16.883,16.891
15.617,15.578,15.541,16.114,16.883,16.891,16.983
15.578,15.541,16.114,16.883,16.891,16.983,17
15.541,16.114,16.883,16.891,16.983,17,17.14
16.114,16.883,16.891,16.983,17,17.14,17.069
16.883,16.891,16.983,17,17.14,17.069,16.695
16.891,16.983,17,17.14,17.069,16.695,16.619
16.983,17,17.14,17.069,16.695,16.619,17.078
17,17.14,17.069,16.695,16.619,17.078,16.72
17.14,17.069,16.695,16.619,17.078,16.72,16.72
17.069,16.695,16.619,17.078,16.72,16.72,17.13
16.695,16.619,17.078,16.72,16.72,17.13,16.86
16.619,17.078,16.72,16.72,17.13,16.86,16.474
17.078,16.72,16.72,17.13,16.86,16.474,16.196
16.72,16.72,17.13,16.86,16.474,16.196,16.402
16.72,17.13,16.86,16.474,16.196,16.402,16.313
17.13,16.86,16.474,16.196,16.402,16.313,16.182
16.86,16.474,16.196,16.402,16.313,16.182,16.3
16.474,16.196,16.402,16.313,16.182,16.3,16.306
16.196,16.402,16.313,16.182,16.3,16.306,16.251
16.402,16.313,16.182,16.3,16.306,16.251,15.909
16.313,16.182,16.3,16.306,16.251,15.909,16.028
16.182,16.3,16.306,16.251,15.909,16.028,15.816
16.3,16.306,16.251,15.909,16.028,15.816,15.85
16.306,16.251,15.909,16.028,15.816,15.85,15.658
16.251,15.909,16.028,15.816,15.85,15.658,16.416
15.909,16.028,15.816,15.85,15.658,16.416,16.611
16.028,15.816,15.85,15.658,16.416,16.611,16.702
15.816,15.85,15.658,16.416,16.611,16.702,16.153
15.85,15.658,16.416,16.611,16.702,16.153,16.135
15.658,16.416,16.611,16.702,16.153,16.135,16.441
16.416,16.611,16.702,16.153,16.135,16.441,16.579
16.611,16.702,16.153,16.135,16.441,16.579,16.506
16.702,16.153,16.135,16.441,16.579,16.506,16.297
16.153,16.135,16.441,16.579,16.506,16.297,16.465
16.135,16.441,16.579,16.506,16.297,16.465,16.314
16.441,16.579,16.506,16.297,16.465,16.314,16.526
16.579,16.506,16.297,16.465,16.314,16.526,17.221
16.506,16.297,16.465,16.314,16.526,17.221,17.465
16.297,16.465,16.314,16.526,17.221,17.465,17.563
16.465,16.314,16.526,17.221,17.465,17.563,17.732
16.314,16.526,17.221,17.465,17.563,17.732,17.071
16.526,17.221,17.465,17.563,17.732,17.071,17.113
17.221,17.465,17.563,17.732,17.071,17.113,17.132
17.465,17.563,17.732,17.071,17.113,17.132,17.051
17.563,17.732,17.071,17.113,17.132,17.051,16.746
17.732,17.071,17.113,17.132,17.051,16.746,16.746
17.071,17.113,17.132,17.051,16.746,16.746,16.647
17.113,17.132,17.051,16.746,16.746,16.647,16.689
17.132,17.051,16.746,16.746,16.647,16.689,16.721
17.051,16.746,16.746,16.647,16.689,16.721,16.701
16.746,16.746,16.647,16.689,16.721,16.701,16.82
16.746,16.647,16.689,16.721,16.701,16.82,16.501
16.647,16.689,16.721,16.701,16.82,16.501,16.124
16.689,16.721,16.701,16.82,16.501,16.124,16.005
16.721,16.701,16.82,16.501,16.124,16.005,15.98
16.701,16.82,16.501,16.124,16.005,15.98,15.978
16.82,16.501,16.124,16.005,15.98,15.978,15.98
16.501,16.124,16.005,15.98,15.978,15.98,15.981
16.124,16.005,15.98,15.978,15.98,15.981,15.849
16.005,15.98,15.978,15.98,15.981,15.849,16.107
15.98,15.978,15.98,15.981,15.849,16.107,15.986
15.978,15.98,15.981,15.849,16.107,15.986,15.967
15.98,15.981,15.849,16.107,15.986,15.967,16.174
15.981,15.849,16.107,15.986,15.967,16.174,16.13
15.849,16.107,15.986,15.967,16.174,16.13,16.161
16.107,15.986,15.967,16.174,16.13,16.161,15.756
15.986,15.967,16.174,16.13,16.161,15.756,15.872
15.967,16.174,16.13,16.161,15.756,15.872,15.83
16.174,16.13,16.161,15.756,15.872,15.83,15.755
16.13,16.161,15.756,15.872,15.83,15.755,15.695
16.161,15.756,15.872,15.83,15.755,15.695,15.581
15.756,15.872,15.83,15.755,15.695,15.581,15.577
15.872,15.83,15.755,15.695,15.581,15.577,15.562
15.83,15.755,15.695,15.581,15.577,15.562,15.753
15.755,15.695,15.581,15.577,15.562,15.753,15.753
15.695,15.581,15.577,15.562,15.753,15.753,14.969
15.581,15.577,15.562,15.753,15.753,14.969,15.163
15.577,15.562,15.753,15.753,14.969,15.163,15.361
15.562,15.753,15.753,14.969,15.163,15.361,15.481
15.753,15.753,14.969,15.163,15.361,15.481,15.457
15.753,14.969,15.163,15.361,15.481,15.457,15.315
14.969,15.163,15.361,15.481,15.457,15.315,15.048
15.163,15.361,15.481,15.457,15.315,15.048,14.984
15.361,15.481,15.457,15.315,15.048,14.984,14.834
15.481,15.457,15.315,15.048,14.984,14.834,14.758
15.457,15.315,15.048,14.984,14.834,14.758,14.785
15.315,15.048,14.984,14.834,14.758,14.785,14.73
15.048,14.984,14.834,14.758,14.785,14.73,14.701
14.984,14.834,14.758,14.785,14.73,14.701,14.488
14.834,14.758,14.785,14.73,14.701,14.488,14.605
14.758,14.785,14.73,14.701,14.488,14.605,14.642
14.785,14.73,14.701,14.488,14.605,14.642,14.743
14.73,14.701,14.488,14.605,14.642,14.743,14.716
14.701,14.488,14.605,14.642,14.743,14.716,14.765
14.488,14.605,14.642,14.743,14.716,14.765,14.535
14.605,14.642,14.743,14.716,14.765,14.535,14.576
14.642,14.743,14.716,14.765,14.535,14.576,14.573
14.743,14.716,14.765,14.535,14.576,14.573,14.697
14.716,14.765,14.535,14.576,14.573,14.697,14.842
14.765,14.535,14.576,14.573,14.697,14.842,15.313
14.535,14.576,14.573,14.697,14.842,15.313,15.305
14.576,14.573,14.697,14.842,15.313,15.305,15.497
14.573,14.697,14.842,15.313,15.305,15.497,15.42
14.697,14.842,15.313,15.305,15.497,15.42,15.234
14.842,15.313,15.305,15.497,15.42,15.234,15.319
15.313,15.305,15.497,15.42,15.234,15.319,14.808
15.305,15.497,15.42,15.234,15.319,14.808,15.195
15.497,15.42,15.234,15.319,14.808,15.195,15.533
15.42,15.234,15.319,14.808,15.195,15.533,15.317
15.234,15.319,14.808,15.195,15.533,15.317,14.772
15.319,14.808,15.195,15.533,15.317,14.772,14.621
14.808,15.195,15.533,15.317,14.772,14.621,14.051
15.195,15.533,15.317,14.772,14.621,14.051,14.418
15.533,15.317,14.772,14.621,14.051,14.418,14.542
15.317,14.772,14.621,14.051,14.418,14.542,14.581
14.772,14.621,14.051,14.418,14.542,14.581,14.617
14.621,14.051,14.418,14.542,14.581,14.617,14.664
14.051,14.418,14.542,14.581,14.617,14.664,14.702
14.418,14.542,14.581,14.617,14.664,14.702,14.544
14.542,14.581,14.617,14.664,14.702,14.544,14.755
14.581,14.617,14.664,14.702,14.544,14.755,14.75
14.617,14.664,14.702,14.544,14.755,14.75,14.571
14.664,14.702,14.544,14.755,14.75,14.571,14.64
14.702,14.544,14.755,14.75,14.571,14.64,14.499
14.544,14.755,14.75,14.571,14.64,14.499,14.359
14.755,14.75,14.571,14.64,14.499,14.359,14.321
14.75,14.571,14.64,14.499,14.359,14.321,14.88
14.571,14.64,14.499,14.359,14.321,14.88,14.979
14.64,14.499,14.359,14.321,14.88,14.979,15.158
14.499,14.359,14.321,14.88,14.979,15.158,15.215
14.359,14.321,14.88,14.979,15.158,15.215,14.75
14.321,14.88,14.979,15.158,15.215,14.75,14.781
14.88,14.979,15.158,15.215,14.75,14.781,15.126
14.979,15.158,15.215,14.75,14.781,15.126,15.107
15.158,15.215,14.75,14.781,15.126,15.107,14.534
15.215,14.75,14.781,15.126,15.107,14.534,14.573
14.75,14.781,15.126,15.107,14.534,14.573,14.518
14.781,15.126,15.107,14.534,14.573,14.518,14.511
15.126,15.107,14.534,14.573,14.518,14.511,15.263
15.107,14.534,14.573,14.518,14.511,15.263,15.708
14.534,14.573,14.518,14.511,15.263,15.708,15.984
14.573,14.518,14.511,15.263,15.708,15.984,16.094
14.518,14.511,15.263,15.708,15.984,16.094,15.766
14.511,15.263,15.708,15.984,16.094,15.766,15.818
15.263,15.708,15.984,16.094,15.766,15.818,15.864
15.708,15.984,16.094,15.766,15.818,15.864,15.907
15.984,16.094,15.766,15.818,15.864,15.907,16.117
16.094,15.766,15.818,15.864,15.907,16.117,16.164
15.766,15.818,15.864,15.907,16.117,16.164,16.114
15.818,15.864,15.907,16.117,16.164,16.114,15.841
15.864,15.907,16.117,16.164,16.114,15.841,15.917
15.907,16.117,16.164,16.114,15.841,15.917,15.71
16.117,16.164,16.114,15.841,15.917,15.71,15.837
16.164,16.114,15.841,15.917,15.71,15.837,15.827
16.114,15.841,15.917,15.71,15.837,15.827,15.905
15.841,15.917,15.71,15.837,15.827,15.905,15.863
15.917,15.71,15.837,15.827,15.905,15.863,16.293
15.71,15.837,15.827,15.905,15.863,16.293,15.567
15.837,15.827,15.905,15.863,16.293,15.567,15.584
15.827,15.905,15.863,16.293,15.567,15.584,15.425
15.905,15.863,16.293,15.567,15.584,15.425,15.256
15.863,16.293,15.567,15.584,15.425,15.256,15.075
16.293,15.567,15.584,15.425,15.256,15.075,15.001
15.567,15.584,15.425,15.256,15.075,15.001,14.709
15.584,15.425,15.256,15.075,15.001,14.709,14.43
15.425,15.256,15.075,15.001,14.709,14.43,14.372
15.256,15.075,15.001,14.709,14.43,14.372,14.277
15.075,15.001,14.709,14.43,14.372,14.277,14.236
