m6,m5,m4,m3,m2,m1,n
28.644,28.976,28.969,28.435,28.767,28.699,28.397
28.976,28.969,28.435,28.767,28.699,28.397,28.418
28.969,28.435,28.767,28.699,28.397,28.418,26.865
28.435,28.767,28.699,28.397,28.418,26.865,26.688
28.767,28.699,28.397,28.418,26.865,26.688,27.55
28.699,28.397,28.418,26.865,26.688,27.55,27.067
28.397,28.418,26.865,26.688,27.55,27.067,26.97
28.418,26.865,26.688,27.55,27.067,26.97,26.291
26.865,26.688,27.55,27.067,26.97,26.291,27.612
26.688,27.55,27.067,26.97,26.291,27.612,27.499
27.55,27.067,26.97,26.291,27.612,27.499,28.28
27.067,26.97,26.291,27.612,27.499,28.28,27.672
26.97,26.291,27.612,27.499,28.28,27.672,27.672
26.291,27.612,27.499,28.28,27.672,27.672,26.92
27.612,27.499,28.28,27.672,27.672,26.92,27.444
27.499,28.28,27.672,27.672,26.92,27.444,26.882
28.28,27.672,27.672,26.92,27.444,26.882,27.023
27.672,27.672,26.92,27.444,26.882,27.023,27.161
27.672,26.92,27.444,26.882,27.023,27.161,27.369
26.92,27.444,26.882,27.023,27.161,27.369,27.321
27.444,26.882,27.023,27.161,27.369,27.321,27.316
26.882,27.023,27.161,27.369,27.321,27.316,27.095
27.023,27.161,27.369,27.321,27.316,27.095,27.217
27.161,27.369,27.321,27.316,27.095,27.217,27.302
27.369,27.321,27.316,27.095,27.217,27.302,27.042
27.321,27.316,27.095,27.217,27.302,27.042,26.811
27.316,27.095,27.217,27.302,27.042,26.811,27.466
27.095,27.217,27.302,27.042,26.811,27.466,27.446
27.217,27.302,27.042,26.811,27.466,27.446,27.498
27.302,27.042,26.811,27.466,27.446,27.498,28.06
27.042,26.811,27.466,27.446,27.498,28.06,27.941
26.811,27.466,27.446,27.498,28.06,27.941,27.561
27.466,27.446,27.498,28.06,27.941,27.561,27.021
27.446,27.498,28.06,27.941,27.561,27.021,27.828
27.498,28.06,27.941,27.561,27.021,27.828,27.889
28.06,27.941,27.561,27.021,27.828,27.889,28.112
27.941,27.561,27.021,27.828,27.889,28.112,28.102
